time[s],u[m/s]
404,8.056800e-01,1.600000e+01
405,6.262390e-01,1.200000e+01
406,9.362548e-01,1.800000e+01
407,2.387269e-01,4.000000e+00
408,7.269455e-01,1.400000e+01
409,7.939830e-01,1.500000e+01
410,6.542960e-01,1.300000e+01
411,9.047710e-01,1.800000e+01
412,3.446418e-01,6.000000e+00
413,9.034553e-01,1.800000e+01
414,3.488954e-01,6.000000e+00
415,9.086696e-01,1.800000e+01
416,3.319568e-01,6.000000e+00
417,8.870459e-01,1.700000e+01
418,4.007818e-01,8.000000e+00
419,9.606230e-01,1.900000e+01
420,1.513057e-01,3.000000e+00
421,5.136492e-01,1.000000e+01
422,9.992548e-01,1.900000e+01
423,2.978611e-03,0.000000e+00
424,1.187896e-02,0.000000e+00
425,4.695138e-02,0.000000e+00
426,1.789878e-01,3.000000e+00
427,5.878047e-01,1.100000e+01
428,9.691614e-01,1.900000e+01
429,1.195505e-01,2.000000e+00
430,4.210326e-01,8.000000e+00
431,9.750566e-01,1.900000e+01
432,9.728479e-02,1.000000e+00
433,3.512819e-01,7.000000e+00
434,9.115317e-01,1.800000e+01
435,3.225668e-01,6.000000e+00
436,8.740698e-01,1.700000e+01
437,4.402870e-01,8.000000e+00
438,9.857374e-01,1.900000e+01
439,5.623657e-02,1.000000e+00
440,2.122961e-01,4.000000e+00
441,6.689058e-01,1.300000e+01
442,8.858833e-01,1.700000e+01
443,4.043763e-01,8.000000e+00
444,9.634244e-01,1.900000e+01
445,1.409512e-01,2.000000e+00
446,4.843358e-01,9.000000e+00
447,9.990185e-01,1.900000e+01
448,3.922041e-03,0.000000e+00
449,1.562663e-02,0.000000e+00
450,6.152977e-02,1.000000e+00
451,2.309754e-01,4.000000e+00
452,7.105031e-01,1.400000e+01
453,8.227538e-01,1.600000e+01
454,5.833200e-01,1.100000e+01
455,9.722311e-01,1.900000e+01
456,1.079911e-01,2.000000e+00
457,3.853162e-01,7.000000e+00
458,9.473905e-01,1.800000e+01
459,1.993670e-01,3.000000e+00
460,6.384793e-01,1.200000e+01
461,9.232940e-01,1.800000e+01
462,2.832888e-01,5.000000e+00
463,8.121451e-01,1.600000e+01
464,6.102618e-01,1.200000e+01
465,9.513693e-01,1.900000e+01
466,1.850629e-01,3.000000e+00
467,6.032585e-01,1.200000e+01
468,9.573507e-01,1.900000e+01
469,1.633213e-01,3.000000e+00
470,5.465897e-01,1.000000e+01
471,9.913176e-01,1.900000e+01
472,3.442805e-02,0.000000e+00
473,1.329711e-01,2.000000e+00
474,4.611590e-01,9.000000e+00
475,9.939655e-01,1.900000e+01
476,2.399229e-02,0.000000e+00
477,9.366665e-02,1.000000e+00
478,3.395728e-01,6.000000e+00
479,8.970525e-01,1.700000e+01
480,3.693973e-01,7.000000e+00
481,9.317717e-01,1.800000e+01
482,2.542927e-01,5.000000e+00
483,7.585116e-01,1.500000e+01
484,7.326869e-01,1.400000e+01
485,7.834272e-01,1.500000e+01
486,6.786761e-01,1.300000e+01
487,8.722994e-01,1.700000e+01
